@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.173563,0
normal,0.173563,0
normal,0.171808,0.028571
normal,0.171094,0
normal,0.171094,0
normal,0.169507,0
normal,0.169507,0
normal,0.167992,0
normal,0.166542,0.027778
normal,0.167468,0
anormal,0.166079,0
normal,0.164746,0.15625
normal,0.169954,0.013514
anormal,0.169123,0.013514
normal,0.168339,0.013699
normal,0.168795,0
normal,0.167605,0
normal,0.167605,0
normal,0.166455,0
normal,0.165306,0.027778
normal,0.165082,0
normal,0.16399,0
normal,0.163196,0.028571
normal,0.163355,0
normal,0.163355,0.029412
normal,0.163293,0
normal,0.163293,0.030303
normal,0.163293,0
normal,0.163293,0.03125
normal,0.163355,0
normal,0.163355,0.016129
anormal,0.163892,0.016129
normal,0.16443,0.016667
normal,0.164033,0.033898
normal,0.165163,0.061404
anormal,0.16721,0.061404
normal,0.169257,0.035714
normal,0.170447,0.037037
normal,0.171682,0
normal,0.170756,0.038462
normal,0.172038,0.04
normal,0.173371,0.041667
normal,0.169552,0
normal,0.169101,0.043478
normal,0.1701,0.045455
normal,0.171159,0.047619
normal,0.172746,0
normal,0.172746,0.05
normal,0.174413,0.052632
normal,0.176167,0.055556
normal,0.177093,0.058824
normal,0.179054,0
normal,0.179054,0.0625
normal,0.180185,0.066667
normal,0.182407,0.071429
normal,0.183807,0
normal,0.183807,0.076923
normal,0.185361,0.083333
normal,0.188139,0
normal,0.187097,0.090909
normal,0.190128,0.1
normal,0.192923,0
normal,0.192386,0.111111
normal,0.195534,0
normal,0.194404,0.125
normal,0.196524,0
normal,0.194477,0.142857
normal,0.198049,0
normal,0.196814,0.166667
normal,0.20237,0
normal,0.201087,0.2
normal,0.206421,0
normal,0.205032,0
anormal,0.205032,0
normal,0.203583,0
anormal,0.202068,0
normal,0.20048,0.090909
normal,0.203511,0
normal,0.201844,0
normal,0.200089,0.166667
normal,0.203793,0.2
normal,0.208499,0
normal,0.208499,0
anormal,0.206416,0
normal,0.204193,0.2
normal,0.208479,0
normal,0.208479,0
normal,0.205915,0
normal,0.203137,0
normal,0.203137,0.166667
normal,0.205663,0.142857
normal,0.207091,0
normal,0.207091,0
normal,0.203387,0.125
normal,0.207554,0.111111
normal,0.207091,0.1
normal,0.210424,0.090909
normal,0.208693,0.083333
normal,0.211471,0.076923
normal,0.208479,0
normal,0.208479,0.071429
anormal,0.204193,0.071429
normal,0.206574,0.052632
normal,0.208329,0
normal,0.208329,0.111111
normal,0.212033,0
normal,0.212033,0.1
normal,0.212336,0
normal,0.212336,0.090909
normal,0.215366,0.083333
normal,0.212588,0
normal,0.205921,0.076923
normal,0.208486,0.071429
normal,0.210866,0
normal,0.210866,0.066667
normal,0.206422,0.0625
normal,0.208505,0
normal,0.208505,0.058824
normal,0.210466,0
normal,0.210466,0.055556
normal,0.206762,0.052632
normal,0.203755,0
normal,0.203755,0.05
normal,0.205422,0
normal,0.201255,0.047619
normal,0.199139,0.045455
normal,0.19732,0
normal,0.19429,0.043478
normal,0.192962,0
normal,0.190397,0.041667
normal,0.191786,0
normal,0.189405,0
normal,0.187024,0.04
normal,0.186603,0.076923
anormal,0.189167,0.076923
normal,0.188028,0.018868
normal,0.188657,0
normal,0.185323,0.018519
anormal,0.185941,0.018519
anormal,0.183528,0.018519
normal,0.181367,0
normal,0.181367,0
normal,0.178803,0
normal,0.176422,0.035714
normal,0.177613,0
normal,0.17539,0
normal,0.173307,0
normal,0.173307,0
normal,0.171346,0
normal,0.171346,0
normal,0.169494,0
normal,0.16774,0
normal,0.16774,0.034483
normal,0.167223,0
normal,0.167223,0
normal,0.165636,0
normal,0.16412,0
normal,0.16412,0.035714
normal,0.163862,0
anormal,0.163862,0
anormal,0.162473,0
normal,0.162473,0.018519
normal,0.16309,0.018868
normal,0.162386,0.086538
anormal,0.162706,0.086538
normal,0.163027,0.038462
normal,0.16368,0
normal,0.16368,0.04
normal,0.164396,0
normal,0.163778,0.041667
normal,0.16455,0
normal,0.16455,0.043478
normal,0.165999,0
normal,0.165999,0
normal,0.164809,0.045455
normal,0.166324,0
normal,0.166324,0.047619
normal,0.167911,0
normal,0.167911,0.05
normal,0.169578,0.052632
normal,0.171332,0
normal,0.171332,0.055556
normal,0.173184,0
normal,0.172035,0
