@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Llast'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
anormal,0.184497,0
anormal,0.174551,0
anormal,0.164484,0
anormal,0.160317,0
anormal,0.155556,0
anormal,0.174338,0.076923
anormal,0.176902,0.076923
anormal,0.185671,0.028571
anormal,0.174784,0
anormal,0.173909,0
anormal,0.172899,0
anormal,0.162375,0.04
anormal,0.162474,0.04
anormal,0.171285,0.159091
anormal,0.170353,0.1
anormal,0.170725,0.04
anormal,0.172059,0.04
anormal,0.184648,0.172414
anormal,0.187516,0.016667
anormal,0.188072,0.016667
anormal,0.17414,0
anormal,0.17414,0
anormal,0.171418,0
anormal,0.158473,0.03125
anormal,0.159515,0.03125
anormal,0.163484,0.1
anormal,0.194969,0.1
anormal,0.211749,0
anormal,0.209897,0
anormal,0.203631,0
anormal,0.192878,0
anormal,0.181024,0
anormal,0.176719,0
anormal,0.19909,0.065217
anormal,0.191268,0
anormal,0.187565,0
anormal,0.169895,0
anormal,0.1726,0.040541
anormal,0.177603,0
anormal,0.177603,0
anormal,0.176872,0.060606
anormal,0.162839,0
anormal,0.163352,0
anormal,0.167384,0.035714
anormal,0.168575,0.035714
anormal,0.173849,0.091837
anormal,0.205032,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.162222,0
anormal,0.156667,0
anormal,0.156667,0
anormal,0.186603,0.04
anormal,0.187937,0.04
anormal,0.183479,0.018519
anormal,0.160783,0
anormal,0.159394,0
anormal,0.159255,0.038462
anormal,0.17504,0
anormal,0.173758,0
anormal,0.174012,0
anormal,0.180177,0
anormal,0.176844,0
anormal,0.179397,0.037736
anormal,0.169605,0.028571
anormal,0.173732,0
anormal,0.167108,0.028571
anormal,0.171097,0.014925
anormal,0.170585,0.014925
anormal,0.179571,0.058824
anormal,0.186638,0.045455
anormal,0.207853,0
anormal,0.199478,0
anormal,0.192877,0
anormal,0.18243,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.188258,0
anormal,0.192975,0.021739
anormal,0.1937,0.021739
anormal,0.166017,0
anormal,0.164263,0
anormal,0.163756,0.017544
anormal,0.16434,0.017544
anormal,0.16331,0
anormal,0.16331,0
anormal,0.165325,0.029412
anormal,0.165721,0.029412
anormal,0.169339,0
anormal,0.169339,0
anormal,0.169965,0.026316
anormal,0.170842,0.026316
anormal,0.170769,0.03125
anormal,0.172814,0.014925
anormal,0.163919,0
anormal,0.163919,0
anormal,0.162274,0.020833
anormal,0.163887,0
anormal,0.167391,0.032609
anormal,0.20467,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.165966,0.1
anormal,0.169299,0.1
anormal,0.183951,0.032258
anormal,0.181985,0
anormal,0.17561,0.1
anormal,0.179566,0.04
anormal,0.1809,0.04
anormal,0.185233,0.125
anormal,0.175871,0
anormal,0.175626,0.006944
anormal,0.160579,0.029412
anormal,0.161559,0.029412
anormal,0.161583,0.015625
anormal,0.184997,0
anormal,0.203133,0.1
anormal,0.205078,0.1
anormal,0.206962,0
anormal,0.198587,0
anormal,0.19232,0
anormal,0.1838,0
anormal,0.175059,0
anormal,0.170753,0
anormal,0.165808,0
anormal,0.19281,0.043478
anormal,0.190465,0.02
anormal,0.165072,0
anormal,0.163557,0
anormal,0.163557,0
anormal,0.162107,0
anormal,0.160658,0
anormal,0.162607,0.05
anormal,0.172369,0.030303
anormal,0.173379,0.030303
anormal,0.173383,0.058824
anormal,0.175344,0.058824
anormal,0.177762,0.051282
anormal,0.179471,0.051282
anormal,0.180231,0
anormal,0.176799,0.014706
anormal,0.175329,0.014706
anormal,0.160711,0
anormal,0.160711,0
anormal,0.160024,0.013889
anormal,0.159376,0.013889
anormal,0.164651,0.04
anormal,0.170755,0.046512
anormal,0.172306,0.046512
anormal,0.206613,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.177909,0.107143
anormal,0.188611,0.027778
anormal,0.174221,0.086207
anormal,0.172576,0.017241
anormal,0.170738,0.152174
anormal,0.1712,0.02381
anormal,0.169339,0
anormal,0.167117,0
anormal,0.169473,0.033333
anormal,0.180824,0.033333
anormal,0.186176,0.164063
anormal,0.174107,0
anormal,0.174107,0
anormal,0.175751,0.111111
anormal,0.165887,0.033333
anormal,0.174361,0.036364
anormal,0.175573,0.036364
anormal,0.205032,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.171151,0
anormal,0.177352,0.047619
anormal,0.178939,0.047619
anormal,0.185474,0
anormal,0.185474,0
anormal,0.177864,0
anormal,0.177213,0
anormal,0.177213,0
anormal,0.176984,0.05102
anormal,0.169888,0
anormal,0.169888,0
anormal,0.169995,0.091549
anormal,0.16344,0
anormal,0.162364,0
anormal,0.163767,0.058824
anormal,0.171699,0
anormal,0.171699,0
anormal,0.178537,0.068966
anormal,0.199575,0
anormal,0.196737,0
anormal,0.191833,0
anormal,0.185726,0
anormal,0.174551,0
anormal,0.164484,0
anormal,0.160317,0
anormal,0.155556,0
anormal,0.184837,0.055556
anormal,0.19532,0.104651
anormal,0.173702,0
anormal,0.173702,0
anormal,0.167295,0
anormal,0.166462,0
anormal,0.160981,0.047619
anormal,0.16934,0
anormal,0.169339,0
anormal,0.172529,0.026316
anormal,0.173406,0.026316
anormal,0.174896,0.078125
anormal,0.175939,0.014925
anormal,0.175484,0.014925
anormal,0.164511,0
anormal,0.163321,0
anormal,0.16657,0.131944
anormal,0.170725,0.038462
anormal,0.177989,0.044444
anormal,0.179471,0.044444
anormal,0.204925,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.171774,0.083333
anormal,0.188784,0.088235
anormal,0.178836,0
anormal,0.176367,0
anormal,0.172541,0
anormal,0.171531,0
anormal,0.160247,0.104167
anormal,0.165894,0
anormal,0.170353,0
anormal,0.170353,0
anormal,0.169909,0.037037
anormal,0.182101,0.103448
anormal,0.187679,0.126984
anormal,0.176962,0
anormal,0.179082,0.128378
anormal,0.166879,0.032258
anormal,0.170503,0.017544
anormal,0.205032,0
anormal,0.203583,0
anormal,0.210052,0
anormal,0.206639,0.035714
anormal,0.19031,0
anormal,0.183683,0.04
anormal,0.175626,0
anormal,0.175626,0
anormal,0.175935,0.020833
anormal,0.169643,0.014286
anormal,0.167644,0.014085
anormal,0.161486,0
anormal,0.163868,0.014706
anormal,0.164358,0.014706
anormal,0.17512,0.052632
anormal,0.175948,0.052632
anormal,0.184639,0.1
anormal,0.206935,0
anormal,0.198657,0
anormal,0.1927,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.186591,0
anormal,0.186591,0
anormal,0.194386,0.141304
anormal,0.172541,0
anormal,0.170689,0
anormal,0.169509,0.017241
anormal,0.170084,0.017241
anormal,0.162705,0.047619
anormal,0.164292,0.047619
anormal,0.173631,0.132353
anormal,0.169895,0.071429
anormal,0.178437,0.027778
anormal,0.184424,0.109375
anormal,0.184046,0.015152
