@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Llast'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
anormal,0.159552,0.016667
anormal,0.194477,0.125
anormal,0.198644,0.125
anormal,0.219072,0
anormal,0.218127,0.0625
anormal,0.220211,0.0625
anormal,0.194199,0
anormal,0.183871,0.019231
anormal,0.184512,0.019231
anormal,0.159999,0
anormal,0.15855,0
anormal,0.157161,0
anormal,0.157161,0
anormal,0.172476,0.071429
anormal,0.176306,0
anormal,0.176306,0
anormal,0.181758,0.136364
anormal,0.185735,0.040816
anormal,0.187095,0.040816
anormal,0.184422,0.142857
anormal,0.187647,0.042254
anormal,0.170788,0.027778
anormal,0.175559,0.014286
anormal,0.174889,0.043478
anormal,0.180972,0.054054
anormal,0.204914,0
anormal,0.197905,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.178941,0.066667
anormal,0.181163,0.066667
anormal,0.188901,0.025641
anormal,0.170626,0
anormal,0.168871,0
anormal,0.16836,0.041667
anormal,0.167368,0.041667
anormal,0.181632,0.035714
anormal,0.181434,0.035714
anormal,0.178403,0.016667
anormal,0.168975,0
anormal,0.168975,0
anormal,0.166253,0
anormal,0.166253,0
anormal,0.156764,0
anormal,0.159816,0.050847
anormal,0.196814,0
anormal,0.207129,0
anormal,0.209406,0.090909
anormal,0.194199,0
anormal,0.189437,0
anormal,0.183175,0.009434
anormal,0.158336,0
anormal,0.156887,0
anormal,0.156115,0.018519
anormal,0.176092,0.142857
anormal,0.181068,0
anormal,0.177213,0
anormal,0.177213,0
anormal,0.176304,0.030612
anormal,0.168528,0
anormal,0.168375,0.014085
anormal,0.167257,0.014085
anormal,0.163326,0.1
anormal,0.166591,0.014706
anormal,0.183202,0.15
anormal,0.188036,0.064516
anormal,0.189696,0.064516
anormal,0.211872,0
anormal,0.196968,0
anormal,0.190861,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.184837,0.055556
anormal,0.193354,0.02381
anormal,0.194148,0.02381
anormal,0.169835,0
anormal,0.169835,0
anormal,0.163946,0.086207
anormal,0.166728,0.047619
anormal,0.168315,0.047619
anormal,0.168644,0
anormal,0.168644,0
anormal,0.172117,0.066667
anormal,0.171561,0.066667
anormal,0.17643,0.026316
anormal,0.177132,0.03125
anormal,0.17705,0.014925
anormal,0.176595,0.014925
anormal,0.165725,0
anormal,0.165047,0.013889
anormal,0.164623,0.037037
anormal,0.165858,0.037037
anormal,0.169543,0.021277
anormal,0.169352,0.021277
anormal,0.204292,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.165966,0.1
anormal,0.169299,0.1
anormal,0.185026,0.064516
anormal,0.187177,0.064516
anormal,0.181985,0
anormal,0.17561,0.1
anormal,0.179566,0
anormal,0.183,0.017857
anormal,0.174107,0
anormal,0.171376,0
anormal,0.159436,0
anormal,0.158425,0
anormal,0.159024,0.031746
anormal,0.186216,0.083333
anormal,0.188473,0.083333
anormal,0.214584,0
anormal,0.209311,0
anormal,0.203044,0
anormal,0.189766,0
anormal,0.181024,0
anormal,0.176719,0
anormal,0.198365,0.043478
anormal,0.194259,0.043478
anormal,0.188127,0.02
anormal,0.168983,0
anormal,0.167468,0
anormal,0.164321,0
anormal,0.17252,0.066667
anormal,0.174743,0.066667
anormal,0.182527,0.159091
anormal,0.178728,0.045455
anormal,0.18438,0.019608
anormal,0.176238,0
anormal,0.180823,0.147887
anormal,0.170907,0.027778
anormal,0.170722,0.027778
anormal,0.171049,0.014286
anormal,0.171525,0.014286
anormal,0.167905,0
anormal,0.167004,0
anormal,0.17191,0.051282
anormal,0.172693,0.051282
anormal,0.198254,0
anormal,0.196866,0
anormal,0.19025,0
anormal,0.184497,0
anormal,0.174551,0
anormal,0.164484,0
anormal,0.160317,0
anormal,0.155556,0
anormal,0.174338,0.076923
anormal,0.176902,0.076923
anormal,0.185671,0.028571
anormal,0.174784,0
anormal,0.173909,0
anormal,0.172899,0
anormal,0.162375,0.04
anormal,0.162474,0.04
anormal,0.171285,0.159091
anormal,0.170353,0.1
anormal,0.170725,0.04
anormal,0.172059,0.04
anormal,0.184648,0.172414
anormal,0.187516,0.016667
anormal,0.188072,0.016667
anormal,0.17414,0
anormal,0.17414,0
anormal,0.171418,0
anormal,0.158473,0.03125
anormal,0.159515,0.03125
anormal,0.163484,0.1
anormal,0.194969,0.1
anormal,0.211749,0
anormal,0.209897,0
anormal,0.203631,0
anormal,0.192878,0
anormal,0.181024,0
anormal,0.176719,0
anormal,0.19909,0.065217
anormal,0.191268,0
anormal,0.187565,0
anormal,0.169895,0
anormal,0.1726,0.040541
anormal,0.177603,0
anormal,0.177603,0
anormal,0.176872,0.060606
anormal,0.162839,0
anormal,0.163352,0
anormal,0.167384,0.035714
anormal,0.168575,0.035714
anormal,0.173849,0.091837
anormal,0.205032,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.162222,0
anormal,0.156667,0
anormal,0.156667,0
anormal,0.186603,0.04
anormal,0.187937,0.04
anormal,0.183479,0.018519
anormal,0.160783,0
anormal,0.159394,0
anormal,0.159255,0.038462
anormal,0.17504,0
anormal,0.173758,0
anormal,0.174012,0
anormal,0.180177,0
anormal,0.176844,0
anormal,0.179397,0.037736
anormal,0.169605,0.028571
anormal,0.173732,0
anormal,0.167108,0.028571
anormal,0.171097,0.014925
anormal,0.170585,0.014925
anormal,0.179571,0.058824
anormal,0.186638,0.045455
anormal,0.207853,0
anormal,0.199478,0
anormal,0.192877,0
anormal,0.18243,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.188258,0
anormal,0.192975,0.021739
anormal,0.1937,0.021739
anormal,0.166017,0
anormal,0.164263,0
anormal,0.163756,0.017544
anormal,0.16434,0.017544
anormal,0.16331,0
anormal,0.16331,0
anormal,0.165325,0.029412
anormal,0.165721,0.029412
anormal,0.169339,0
anormal,0.169339,0
anormal,0.169965,0.026316
anormal,0.170842,0.026316
anormal,0.170769,0.03125
anormal,0.172814,0.014925
anormal,0.163919,0
anormal,0.163919,0
anormal,0.162274,0.020833
anormal,0.163887,0
anormal,0.167391,0.032609
anormal,0.20467,0
