@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Lfirst-weka.filters.unsupervised.instance.RemovePercentage-P88.78'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.184591,0.047619
normal,0.186178,0
normal,0.186178,0.045455
normal,0.187694,0.043478
normal,0.189143,0
normal,0.18581,0.041667
normal,0.187198,0.04
normal,0.188532,0
normal,0.188532,0.038462
normal,0.189814,0.037037
normal,0.188018,0
normal,0.188018,0.035714
normal,0.189209,0
normal,0.186431,0.034483
normal,0.18758,0
normal,0.185016,0.033333
normal,0.186127,0.032258
normal,0.187203,0
normal,0.184822,0
normal,0.182441,0.03125
normal,0.181068,0.014925
normal,0.178662,0
normal,0.175509,0
normal,0.172355,0
normal,0.170601,0.028571
normal,0.169887,0
normal,0.169887,0
normal,0.168299,0
normal,0.168299,0
normal,0.166784,0
normal,0.165335,0.027778
normal,0.166261,0
normal,0.164872,0
normal,0.163539,0
normal,0.163539,0.027027
normal,0.163158,0
normal,0.161923,0
normal,0.161923,0
normal,0.159583,0.013889
normal,0.158786,0
normal,0.158786,0.028571
normal,0.159738,0
normal,0.158696,0.029412
normal,0.158635,0
normal,0.157593,0.030303
normal,0.158106,0
normal,0.157608,0.03125
normal,0.158153,0
normal,0.158153,0.032258
normal,0.159228,0
normal,0.159228,0.033333
normal,0.159387,0.034483
normal,0.160536,0
normal,0.160536,0.035714
normal,0.161727,0.037037
normal,0.162961,0
normal,0.162961,0.038462
normal,0.163317,0.04
normal,0.167317,0.021739
normal,0.167141,0.044444
normal,0.168622,0.046512
normal,0.170173,0.02439
normal,0.172612,0.052632
normal,0.173903,0.055556
normal,0.175292,0.058824
normal,0.17679,0
normal,0.17679,0.0625
normal,0.177921,0.066667
normal,0.180143,0.071429
normal,0.181544,0
normal,0.181544,0.076923
normal,0.183098,0.083333
normal,0.185876,0
normal,0.184834,0.090909
normal,0.187864,0.1
normal,0.190122,0
normal,0.190122,0.111111
normal,0.192715,0
normal,0.191565,0.125
normal,0.195732,0
normal,0.194542,0.142857
